date_time,is_holiday,air_pollution_index,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,weather_description,traffic_volume,numis_holiday
10/2/2012 9:00,None,121,89,2,329,1,1,288.28,0,0,40,Clouds,scattered clouds,5545,0
10/2/2012 10:00,None,178,67,3,330,1,1,289.36,0,0,75,Clouds,broken clouds,4516,0
10/2/2012 11:00,None,113,66,3,329,2,2,289.58,0,0,90,Clouds,overcast clouds,4767,0
10/2/2012 12:00,None,20,66,3,329,5,5,290.13,0,0,90,Clouds,overcast clouds,5026,0
10/2/2012 13:00,None,281,65,3,329,7,7,291.14,0,0,75,Clouds,broken clouds,4918,0
10/2/2012 14:00,None,23,65,3,328,6,6,291.72,0,0,1,Clear,sky is clear,5181,0
10/2/2012 15:00,None,184,64,3,328,7,7,293.17,0,0,1,Clear,sky is clear,5584,0
10/2/2012 16:00,None,167,64,3,327,7,7,293.86,0,0,1,Clear,sky is clear,6015,0
10/2/2012 17:00,None,119,63,3,327,6,6,294.14,0,0,20,Clouds,few clouds,5791,0
10/2/2012 18:00,None,161,63,3,326,3,3,293.1,0,0,20,Clouds,few clouds,4770,0
10/2/2012 19:00,None,243,62,3,326,8,8,290.97,0,0,20,Clouds,few clouds,3539,0
10/2/2012 20:00,None,150,62,3,326,5,5,289.38,0,0,1,Clear,sky is clear,2784,0
10/2/2012 21:00,None,128,61,4,325,4,4,288.61,0,0,1,Clear,sky is clear,2361,0
10/2/2012 22:00,None,18,61,4,325,7,7,287.16,0,0,1,Clear,sky is clear,1529,0
10/2/2012 23:00,None,186,60,4,324,5,5,285.45,0,0,1,Clear,sky is clear,963,0
10/3/2012 0:00,None,58,60,4,324,2,2,284.63,0,0,1,Clear,sky is clear,506,0
10/3/2012 1:00,None,158,59,4,324,6,6,283.47,0,0,1,Clear,sky is clear,321,0
10/3/2012 2:00,None,166,59,4,323,1,1,281.18,0,0,1,Clear,sky is clear,273,0
10/3/2012 3:00,None,101,58,4,323,7,7,281.09,0,0,1,Clear,sky is clear,367,0
10/3/2012 4:00,None,161,58,4,322,4,4,279.53,0,0,1,Clear,sky is clear,814,0
10/3/2012 5:00,None,179,57,4,322,3,3,278.62,0,0,1,Clear,sky is clear,2718,0
10/3/2012 6:00,None,93,57,4,322,4,4,278.23,0,0,1,Clear,sky is clear,5673,0
10/3/2012 8:00,None,57,56,4,321,4,4,278.12,0,0,1,Clear,sky is clear,6511,0
10/3/2012 9:00,None,226,56,4,321,4,4,282.48,0,0,1,Clear,sky is clear,5471,0
10/3/2012 12:00,None,86,55,4,320,3,3,291.97,0,0,1,Clear,sky is clear,5097,0
10/3/2012 13:00,None,52,55,4,320,1,1,293.23,0,0,1,Clear,sky is clear,4887,0
10/3/2012 14:00,None,273,55,4,320,4,4,294.31,0,0,1,Clear,sky is clear,5337,0
10/3/2012 15:00,None,72,55,5,350,3,3,295.17,0,0,1,Clear,sky is clear,5692,0
10/3/2012 16:00,None,254,55,4,320,1,1,295.13,0,0,1,Clear,sky is clear,6137,0
10/3/2012 18:00,None,129,55,5,330,4,4,293.66,0,0,20,Clouds,few clouds,4623,0
10/3/2012 19:00,None,271,48,7,330,1,1,290.65,0,0,20,Clouds,few clouds,3591,0
10/3/2012 20:00,None,259,42,6,320,1,1,288.19,0,0,20,Clouds,few clouds,2898,0
10/3/2012 21:00,None,61,33,5,340,8,8,287.1,0,0,1,Clear,sky is clear,2637,0
10/3/2012 22:00,None,286,30,5,340,4,4,286.25,0,0,1,Clear,sky is clear,1777,0
10/3/2012 23:00,None,151,33,3,340,9,9,285.26,0,0,1,Clear,sky is clear,1015,0
10/4/2012 0:00,None,260,32,5,350,8,8,284.55,0,0,1,Clear,sky is clear,598,0
10/4/2012 1:00,None,234,37,5,350,5,5,283.47,0,0,1,Clear,sky is clear,369,0
10/4/2012 2:00,None,162,36,4,330,5,5,283.17,0,0,1,Clear,sky is clear,312,0
10/4/2012 3:00,None,65,39,6,340,1,1,282.04,0,0,1,Clear,sky is clear,367,0
10/4/2012 4:00,None,18,41,5,340,1,1,281.69,0,0,1,Clear,sky is clear,835,0
10/4/2012 5:00,None,250,44,5,350,4,4,281.32,0,0,1,Clear,sky is clear,2726,0
10/4/2012 6:00,None,173,44,4,340,4,4,280.74,0,0,1,Clear,sky is clear,5689,0
10/4/2012 7:00,None,142,47,4,350,2,2,280.57,0,0,1,Clear,sky is clear,6990,0
